1. Найти все драмы, выпущенные после 2005 года, которые понравились женщинам (оценка не ниже 4.5). Для каждого фильма в этом списке вывести название, год выпуска и количество таких оценок.
--------------------------------------------------
select m.title, m.year, count(rating) as ratings_count from movies m join ratings r on m.id = r.movie_id join users u on r.user_id = u.id where instr(m.genres, 'Drama') > 0 and u.gender = 'female' and m.year > 2005 and rating >= 4.5 group by m.id;
┌──────────────────────────────────────────────────────────┬──────┬───────────────┐
│                          title                           │ year │ ratings_count │
│ Conformist, The (Conformista, Il)                                               │ 1970 │ 5.0    │ Yes           │
│ Topo, El                                                                        │ 1970 │ 5.0    │ Yes           │
│ Fist of Fury (Chinese Connection, The) (Jing wu men)                            │ 1972 │ 5.0    │ Yes           │
│ Jeremiah Johnson                                                                │ 1972 │ 5.0    │ Yes           │
│ Pink Flamingos                                                                  │ 1972 │ 0.5    │ No            │
│ Thing with Two Heads, The                                                       │ 1972 │ 0.5    │ No            │
│ Way of the Dragon, The (a.k.a. Return of the Dragon) (Meng long guo jiang)      │ 1972 │ 5.0    │ Yes           │
│ 3 dev adam (Three Giant Men)                                                    │ 1973 │ 0.5    │ No            │
│ Don''t Look Now                                                                 │ 1973 │ 0.5    │ No            │
│ High Plains Drifter                                                             │ 1973 │ 5.0    │ Yes           │
│ Holy Mountain, The (Montaña sagrada, La)                                        │ 1973 │ 5.0    │ Yes           │
│ Idaho Transfer                                                                  │ 1973 │ 0.5    │ No            │
│ Benji                                                                           │ 1974 │ 5.0    │ Yes           │
│ Phantom of the Paradise                                                         │ 1974 │ 5.0    │ Yes           │
│ Love and Death                                                                  │ 1975 │ 5.0    │ Yes           │
│ In the Realm of the Senses (Ai no corrida)                                      │ 1976 │ 5.0    │ Yes           │
│ Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l''an 2000)     │ 1976 │ 5.0    │ Yes           │
│ The Star Wars Holiday Special                                                   │ 1978 │ 0.5    │ No            │
│ Captain America                                                                 │ 1979 │ 0.5    │ No            │
│ Captain America II: Death Too Soon                                              │ 1979 │ 0.5    │ No            │
│ Last Hurrah for Chivalry (Hao xia)                                              │ 1979 │ 5.0    │ Yes           │
│ Crippled Avengers (Can que) (Return of the 5 Deadly Venoms)                     │ 1981 │ 5.0    │ Yes           │
│ Gallipoli                                                                       │ 1981 │ 5.0    │ Yes           │
│ My Dinner with André                                                            │ 1981 │ 5.0    │ Yes           │
│ Diner                                                                           │ 1982 │ 5.0    │ Yes           │
│ Draughtsman''s Contract, The                                                    │ 1982 │ 5.0    │ Yes           │
│ Ballad of Narayama, The (Narayama bushiko)                                      │ 1983 │ 5.0    │ Yes           │
│ Eddie Murphy Delirious                                                          │ 1983 │ 5.0    │ Yes           │
│ Never Cry Wolf                                                                  │ 1983 │ 5.0    │ Yes           │
│ Cheech & Chong''s The Corsican Brothers                                         │ 1984 │ 0.5    │ No            │
│ Stranger Than Paradise                                                          │ 1984 │ 5.0    │ Yes           │
│ Come and See (Idi i smotri)                                                     │ 1985 │ 5.0    │ Yes           │
│ Vagabond (Sans toit ni loi)                                                     │ 1985 │ 5.0    │ Yes           │
│ Zed & Two Noughts, A                                                            │ 1985 │ 5.0    │ Yes           │
│ Firewalker                                                                      │ 1986 │ 5.0    │ Yes           │
│ Sorority House Massacre                                                         │ 1986 │ 5.0    │ Yes           │
│ Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice)                   │ 1986 │ 5.0    │ Yes           │
│ Eddie Murphy Raw                                                                │ 1987 │ 5.0    │ Yes           │
│ Leonard Part 6                                                                  │ 1987 │ 0.5    │ No            │
│ Monster Squad, The                                                              │ 1987 │ 5.0    │ Yes           │
│ Over the Top                                                                    │ 1987 │ 0.5    │ No            │
│ Red Sorghum (Hong gao liang)                                                    │ 1987 │ 5.0    │ Yes           │
│ Slumber Party Massacre II                                                       │ 1987 │ 5.0    │ Yes           │
│ Wings of Desire (Himmel über Berlin, Der)                                       │ 1987 │ 5.0    │ Yes           │
│ Lady in White (a.k.a. The Mystery of the Lady in White)                         │ 1988 │ 0.5    │ No            │
│ Baxter                                                                          │ 1989 │ 0.5    │ No            │
│ Cyborg                                                                          │ 1989 │ 0.5    │ No            │
│ Drugstore Cowboy                                                                │ 1989 │ 5.0    │ Yes           │
│ Police Academy 6: City Under Siege                                              │ 1989 │ 0.5    │ No            │
│ Steel Magnolias                                                                 │ 1989 │ 5.0    │ Yes           │
│ All the Vermeers in New York                                                    │ 1990 │ 5.0    │ Yes           │
│ Begotten                                                                        │ 1990 │ 0.5    │ No            │
│ Bullet in the Head                                                              │ 1990 │ 5.0    │ Yes           │
│ Lionheart                                                                       │ 1990 │ 0.5    │ No            │
│ Maniac Cop 2                                                                    │ 1990 │ 5.0    │ Yes           │
│ Match Factory Girl, The (Tulitikkutehtaan tyttö)                                │ 1990 │ 5.0    │ Yes           │
│ Slumber Party Massacre III                                                      │ 1990 │ 5.0    │ Yes           │
│ Sorority House Massacre II                                                      │ 1990 │ 5.0    │ Yes           │
│ Troll 2                                                                         │ 1990 │ 5.0    │ Yes           │
│ House Party 2                                                                   │ 1991 │ 0.5    │ No            │
│ Bad Lieutenant                                                                  │ 1992 │ 5.0    │ Yes           │
│ Belle époque                                                                    │ 1992 │ 5.0    │ Yes           │
│ Dead Alive (Braindead)                                                          │ 1992 │ 5.0    │ Yes           │
│ Romper Stomper                                                                  │ 1992 │ 0.5    │ No            │
│ Beethoven''s 2nd                                                                │ 1993 │ 0.5    │ No            │
│ Cement Garden, The                                                              │ 1993 │ 5.0    │ Yes           │
│ Supercop 2 (Project S) (Chao ji ji hua)                                         │ 1993 │ 5.0    │ Yes           │
│ Burnt by the Sun (Utomlyonnye solntsem)                                         │ 1994 │ 0.5    │ No            │
│ It''s Pat                                                                       │ 1994 │ 0.5    │ No            │
│ Lamerica                                                                        │ 1994 │ 5.0    │ Yes           │
│ To Live (Huozhe)                                                                │ 1994 │ 5.0    │ Yes           │
│ Vanya on 42nd Street                                                            │ 1994 │ 5.0    │ Yes           │
│ Angels and Insects                                                              │ 1995 │ 5.0    │ Yes           │
│ Born to Be Wild                                                                 │ 1995 │ 0.5    │ No            │
│ Cry, the Beloved Country                                                        │ 1995 │ 5.0    │ Yes           │
│ Denise Calls Up                                                                 │ 1995 │ 5.0    │ Yes           │
│ Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) │ 1995 │ 5.0    │ Yes           │
│ Heidi Fleiss: Hollywood Madam                                                   │ 1995 │ 5.0    │ Yes           │
│ Just Cause                                                                      │ 1995 │ 5.0    │ Yes           │
│ Live Nude Girls                                                                 │ 1995 │ 5.0    │ Yes           │
│ Mortal Kombat: The Journey Begins                                               │ 1995 │ 0.5    │ No            │
│ Dunston Checks In                                                               │ 1996 │ 0.5    │ No            │
│ Hype!                                                                           │ 1996 │ 5.0    │ Yes           │
│ Oblivion 2: Backlash                                                            │ 1996 │ 0.5    │ No            │
│ Thin Line Between Love and Hate, A                                              │ 1996 │ 5.0    │ Yes           │
│ Butcher Boy, The                                                                │ 1997 │ 5.0    │ Yes           │
│ Fathers'' Day                                                                   │ 1997 │ 0.5    │ No            │
│ Four Days in September (O Que É Isso, Companheiro?)                             │ 1997 │ 5.0    │ Yes           │
│ Leprechaun 4: In Space                                                          │ 1997 │ 0.5    │ No            │
│ Little Dieter Needs to Fly                                                      │ 1997 │ 5.0    │ Yes           │
│ Relic, The                                                                      │ 1997 │ 5.0    │ Yes           │
│ Big Hit, The                                                                    │ 1998 │ 0.5    │ No            │
│ Knock Off                                                                       │ 1998 │ 5.0    │ Yes           │
│ Legionnaire                                                                     │ 1998 │ 0.5    │ No            │
│ Polish Wedding                                                                  │ 1998 │ 5.0    │ Yes           │
│ Bloodsport: The Dark Kumite                                                     │ 1999 │ 0.5    │ No            │
│ Dead or Alive: Hanzaisha                                                        │ 1999 │ 5.0    │ Yes           │
│ Trailer Park Boys                                                               │ 1999 │ 5.0    │ Yes           │
│ Before Night Falls                                                              │ 2000 │ 5.0    │ Yes           │
│ Black Tar Heroin: The Dark End of the Street                                    │ 2000 │ 5.0    │ Yes           │
│ Flickering Lights (Blinkende lygter)                                            │ 2000 │ 5.0    │ Yes           │
│ Ready to Rumble                                                                 │ 2000 │ 0.5    │ No            │
│ 61*                                                                             │ 2001 │ 5.0    │ Yes           │
│ Band of Brothers                                                                │ 2001 │ 5.0    │ Yes           │
│ Corky Romano                                                                    │ 2001 │ 0.5    │ No            │
│ Curse of the Jade Scorpion, The                                                 │ 2001 │ 0.5    │ No            │
│ Freddy Got Fingered                                                             │ 2001 │ 0.5    │ No            │
│ Jesus Christ Vampire Hunter                                                     │ 2001 │ 0.5    │ No            │
│ Kissing Jessica Stein                                                           │ 2001 │ 0.5    │ No            │
│ Majestic, The                                                                   │ 2001 │ 5.0    │ Yes           │
│ Millennium Actress (Sennen joyû)                                                │ 2001 │ 5.0    │ Yes           │
│ Derailed                                                                        │ 2002 │ 0.5    │ No            │
│ Dog Soldiers                                                                    │ 2002 │ 5.0    │ Yes           │
│ Eight Crazy Nights (Adam Sandler''s Eight Crazy Nights)                         │ 2002 │ 0.5    │ No            │
│ Enough                                                                          │ 2002 │ 5.0    │ Yes           │
│ Martin Lawrence Live: Runteldat                                                 │ 2002 │ 5.0    │ Yes           │
│ Master of Disguise, The                                                         │ 2002 │ 0.5    │ No            │
│ Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie)                                    │ 2002 │ 0.5    │ No            │
│ Secret Society                                                                  │ 2002 │ 0.5    │ No            │
│ Sympathy for Mr. Vengeance (Boksuneun naui geot)                                │ 2002 │ 5.0    │ Yes           │
│ Best of Youth, The (La meglio gioventù)                                         │ 2003 │ 5.0    │ Yes           │
│ Dumb and Dumberer: When Harry Met Lloyd                                         │ 2003 │ 5.0    │ Yes           │
│ Gozu (Gokudô kyôfu dai-gekijô: Gozu)                                            │ 2003 │ 5.0    │ Yes           │
│ How to Deal                                                                     │ 2003 │ 5.0    │ Yes           │
│ Tokyo Godfathers                                                                │ 2003 │ 5.0    │ Yes           │
│ Dead Man''s Shoes                                                               │ 2004 │ 5.0    │ Yes           │
│ Mind Game                                                                       │ 2004 │ 5.0    │ Yes           │
│ Saving Face                                                                     │ 2004 │ 5.0    │ Yes           │
│ Without a Paddle                                                                │ 2004 │ 0.5    │ No            │
│ Crow, The: Wicked Prayer                                                        │ 2005 │ 0.5    │ No            │
│ Cocaine Cowboys                                                                 │ 2006 │ 5.0    │ Yes           │
│ Garfield: A Tail of Two Kitties                                                 │ 2006 │ 0.5    │ No            │
│ Painted Veil, The                                                               │ 2006 │ 5.0    │ Yes           │
│ Saw III                                                                         │ 2006 │ 0.5    │ No            │
│ Stay Alive                                                                      │ 2006 │ 0.5    │ No            │
│ Freedom Writers                                                                 │ 2007 │ 5.0    │ Yes           │
│ Futurama: Bender''s Big Score                                                   │ 2007 │ 5.0    │ Yes           │
│ I Know Who Killed Me                                                            │ 2007 │ 0.5    │ No            │
│ I Now Pronounce You Chuck and Larry                                             │ 2007 │ 5.0    │ Yes           │
│ Invisible, The                                                                  │ 2007 │ 0.5    │ No            │
│ Timecrimes (Cronocrímenes, Los)                                                 │ 2007 │ 5.0    │ Yes           │
│ Drillbit Taylor                                                                 │ 2008 │ 5.0    │ Yes           │
│ Encounters at the End of the World                                              │ 2008 │ 5.0    │ Yes           │
│ Journey to the Center of the Earth                                              │ 2008 │ 0.5    │ No            │
│ Love Exposure (Ai No Mukidashi)                                                 │ 2008 │ 5.0    │ Yes           │
│ Welcome to the Sticks (Bienvenue chez les Ch''tis)                              │ 2008 │ 5.0    │ Yes           │
│ 3 Idiots                                                                        │ 2009 │ 5.0    │ Yes           │
│ Case 39                                                                         │ 2009 │ 0.5    │ No            │
│ Enter the Void                                                                  │ 2009 │ 5.0    │ Yes           │
│ Invention of Lying, The                                                         │ 2009 │ 0.5    │ No            │
│ Midnight Chronicles                                                             │ 2009 │ 0.5    │ No            │
│ Mother (Madeo)                                                                  │ 2009 │ 5.0    │ Yes           │
│ Secret in Their Eyes, The (El secreto de sus ojos)                              │ 2009 │ 5.0    │ Yes           │
│ Trash Humpers                                                                   │ 2009 │ 0.5    │ No            │
│ Tyler Perry''s I Can Do Bad All by Myself                                       │ 2009 │ 5.0    │ Yes           │
│ Casino Jack                                                                     │ 2010 │ 5.0    │ Yes           │
│ Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro)      │ 2010 │ 5.0    │ Yes           │
│ Gulliver''s Travels                                                             │ 2010 │ 0.5    │ No            │
│ Incendies                                                                       │ 2010 │ 5.0    │ Yes           │
│ Paper Birds (Pájaros de papel)                                                  │ 2010 │ 5.0    │ Yes           │
│ Serbian Film, A (Srpski film)                                                   │ 2010 │ 0.5    │ No            │
│ Sex and the City 2                                                              │ 2010 │ 0.5    │ No            │
│ Arthur Christmas                                                                │ 2011 │ 0.5    │ No            │
│ Eva                                                                             │ 2011 │ 5.0    │ Yes           │
│ Into the Forest of Fireflies'' Light                                            │ 2011 │ 5.0    │ Yes           │
│ Jack and Jill                                                                   │ 2011 │ 0.5    │ No            │
│ Kung Fu Panda: Secrets of the Masters                                           │ 2011 │ 5.0    │ Yes           │
│ Margin Call                                                                     │ 2011 │ 5.0    │ Yes           │
│ Chronicle                                                                       │ 2012 │ 5.0    │ Yes           │
│ Flight                                                                          │ 2012 │ 5.0    │ Yes           │
│ Holy Motors                                                                     │ 2012 │ 5.0    │ Yes           │
│ Hunt, The (Jagten)                                                              │ 2012 │ 5.0    │ Yes           │
│ It''s Such a Beautiful Day                                                      │ 2012 │ 5.0    │ Yes           │
│ Journey 2: The Mysterious Island                                                │ 2012 │ 0.5    │ No            │
│ Lincoln                                                                         │ 2012 │ 5.0    │ Yes           │
│ Tooth Fairy 2                                                                   │ 2012 │ 0.5    │ No            │
│ After Earth                                                                     │ 2013 │ 0.5    │ No            │
│ Lifeguard, The                                                                  │ 2013 │ 5.0    │ Yes           │
│ Louis C.K.: Oh My God                                                           │ 2013 │ 5.0    │ Yes           │
│ Only Lovers Left Alive                                                          │ 2013 │ 5.0    │ Yes           │
│ Percy Jackson: Sea of Monsters                                                  │ 2013 │ 0.5    │ No            │
│ Unforgiven                                                                      │ 2013 │ 0.5    │ No            │
│ Whiplash                                                                        │ 2013 │ 5.0    │ Yes           │
│ Why Don''t You Play In Hell? (Jigoku de naze warui)                             │ 2013 │ 5.0    │ Yes           │
│ Wind Rises, The (Kaze tachinu)                                                  │ 2013 │ 5.0    │ Yes           │
│ 3 Days to Kill                                                                  │ 2014 │ 0.5    │ No            │
│ Delirium                                                                        │ 2014 │ 5.0    │ Yes           │
│ God''s Not Dead                                                                 │ 2014 │ 0.5    │ No            │
│ I, Frankenstein                                                                 │ 2014 │ 0.5    │ No            │
│ Laggies                                                                         │ 2014 │ 5.0    │ Yes           │
│ Noah                                                                            │ 2014 │ 0.5    │ No            │
│ One I Love, The                                                                 │ 2014 │ 5.0    │ Yes           │
│ Penguins of Madagascar                                                          │ 2014 │ 5.0    │ Yes           │
│ Saving Christmas                                                                │ 2014 │ 0.5    │ No            │
│ Son of God                                                                      │ 2014 │ 0.5    │ No            │
│ Tokyo Tribe                                                                     │ 2014 │ 5.0    │ Yes           │
│ Transcendence                                                                   │ 2014 │ 0.5    │ No            │
│ Louis C.K.: Live at The Comedy Store                                            │ 2015 │ 5.0    │ Yes           │
│ Project Almanac                                                                 │ 2015 │ 5.0    │ Yes           │
│ Straight Outta Compton                                                          │ 2015 │ 5.0    │ Yes           │
│ Survivor                                                                        │ 2015 │ 0.5    │ No            │
│ The Wedding Ringer                                                              │ 2015 │ 5.0    │ Yes           │
│ Victoria                                                                        │ 2015 │ 5.0    │ Yes           │
│ War Room                                                                        │ 2015 │ 0.5    │ No            │
│ Ben-hur                                                                         │ 2016 │ 0.5    │ No            │
│ Everybody Wants Some                                                            │ 2016 │ 5.0    │ Yes           │
│ Gods of Egypt                                                                   │ 2016 │ 0.5    │ No            │
│ London Has Fallen                                                               │ 2016 │ 0.5    │ No            │
│ Miss Sloane                                                                     │ 2016 │ 5.0    │ Yes           │
│ Risen                                                                           │ 2016 │ 0.5    │ No            │
│ The Girl with All the Gifts                                                     │ 2016 │ 5.0    │ Yes           │
│ The Huntsman Winter''s War                                                      │ 2016 │ 0.5    │ No            │
│ Pirates of the Caribbean: Dead Men Tell No Tales                                │ 2017 │ 5.0    │ Yes           │
│ The Cloverfield Paradox                                                         │ 2018 │ 0.5    │ No            │
└─────────────────────────────────────────────────────────────────────────────────┴──────┴────────┴───────────────┘
 
6. Вычислить количество оценок и среднюю оценку, которую дали фильмам пользователи-мужчины в период с 2011 по 2014 год.
--------------------------------------------------
select count(*) as ratings_count, round(avg(r.rating), 2) as ratings_average from ratings r join users u on r.user_id = u.id where u.gender = 'male' and datetime(r.timestamp, 'unixepoch') between '2011-01-01' and '2014-01-01';
┌───────────────┬─────────────────┐
│ ratings_count │ ratings_average │
├───────────────┼─────────────────┤
│ 1102          │ 3.43            │
└───────────────┴─────────────────┘
 
7. Составить список фильмов с указанием средней оценки и количества пользователей, которые их оценили. Полученный список отсортировать по году выпуска и названиям фильмов. В списке оставить первые 20 записей.
--------------------------------------------------
select m.title, m.year, count(*) as ratings_count, round(avg(r.rating), 2) as ratings_average from movies m join ratings r on m.id = r.movie_id group by movie_id order by m.year, m.title limit 20;
┌───────────────────────────────────────────────────────────────┬──────┬───────────────┬─────────────────┐
│                             title                             │ year │ ratings_count │ ratings_average │
├───────────────────────────────────────────────────────────────┼──────┼───────────────┼─────────────────┤
│ Babylon 5                                                     │      │ 1             │ 0.5             │
│ Cosmos                                                        │      │ 1             │ 4.0             │
│ Paterson                                                      │      │ 1             │ 4.5             │
│ Ready Player One                                              │      │ 1             │ 3.0             │
│ Trip to the Moon, A (Voyage dans la lune, Le)                 │ 1902 │ 2             │ 3.25            │
│ The Great Train Robbery                                       │ 1903 │ 1             │ 1.0             │
│ Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) │ 1920 │ 1             │ 3.5             │
│ Kid, The                                                      │ 1921 │ 2             │ 4.5             │
│ Nosferatu (Nosferatu, eine Symphonie des Grauens)             │ 1922 │ 3             │ 2.83            │
│ Woman of Paris, A                                             │ 1923 │ 1             │ 4.5             │
│ Battleship Potemkin                                           │ 1925 │ 4             │ 3.0             │
│ Gold Rush, The                                                │ 1925 │ 2             │ 3.75            │
│ Metropolis                                                    │ 1927 │ 5             │ 4.2             │
│ Circus, The                                                   │ 1928 │ 1             │ 4.0             │
│ Passion of Joan of Arc, The (Passion de Jeanne d''Arc, La)    │ 1928 │ 1             │ 2.5             │
│ Steamboat Willie                                              │ 1928 │ 1             │ 2.0             │
│ Andalusian Dog, An (Chien andalou, Un)                        │ 1929 │ 1             │ 5.0             │
│ City Lights                                                   │ 1931 │ 3             │ 4.17            │
│ Dr. Jekyll and Mr. Hyde                                       │ 1931 │ 1             │ 0.5             │
│ Dracula                                                       │ 1931 │ 2             │ 3.25            │
└───────────────────────────────────────────────────────────────┴──────┴───────────────┴─────────────────┘
 
8. Определить самый распространенный жанр фильма и количество фильмов в этом жанре.
--------------------------------------------------
select max(value) as count, genre as genre_title from statistics_genres;
┌───────┬─────────────┐
│ count │ genre_title │
├───────┼─────────────┤
│ 4361  │ Drama       │
└───────┴─────────────┘
